,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
107,Bandipur,8,NP,1580003274,54,27.93,84.42,53.1,1.79
110,Juneau,90,US,1580003070,96,58.3,-134.42,32.0,4.7
111,Jamestown,90,US,1580003275,86,42.1,-79.24,36.0,3.36
112,Chilchota,75,MX,1580003275,48,19.85,-102.13,64.4,4.23
114,Simpsonville,1,US,1580003275,86,34.74,-82.25,44.6,4.7
117,Tasiilaq,100,GL,1580003275,74,65.61,-37.64,28.4,28.86
118,Ust'-Ilimsk,100,RU,1580003276,87,58.0,102.66,22.68,8.57
119,Khorramabad,0,IR,1580003276,82,33.49,48.36,22.1,5.19
121,Aksu,100,CN,1580003276,71,41.12,80.26,24.3,1.88
122,Baghdad,0,IQ,1580003276,75,33.34,44.4,44.6,12.75
124,Nuqui,100,CO,1580003276,84,5.71,-77.27,78.96,6.73
128,Sfantu Gheorghe,90,RO,1580003277,86,45.87,25.78,33.01,1.03
129,Marquette,90,US,1580003238,96,46.53,-87.63,32.0,8.05
131,Kalaleh,0,IR,1580003277,86,37.38,55.49,30.2,2.24
135,Bethel,90,US,1580003278,100,41.37,-73.41,48.99,6.91
136,Butaritari,100,KI,1580003278,72,3.07,172.79,85.51,9.89
137,Provideniya,0,RU,1580003278,69,64.38,-173.3,-5.44,3.4
138,Ponta do Sol,40,PT,1580003278,67,32.67,-17.1,60.8,5.82
140,Kodinar,0,IN,1580003278,30,20.79,70.7,68.07,7.45
141,Chara,46,RU,1580003278,84,56.91,118.26,0.79,2.66
143,Asau,25,RO,1580003279,92,46.43,26.4,32.0,2.24
144,Shar,100,KZ,1580003279,91,49.59,81.05,13.53,1.92
145,Verkhneyarkeyevo,52,RU,1580003279,97,55.45,54.31,14.56,5.73
146,Lumberton,1,US,1580002995,81,34.62,-79.01,46.4,6.93
147,Tam Ky,40,VN,1580003279,73,15.57,108.48,77.0,4.7
148,Ciudad Lazaro Cardenas,48,MX,1580003279,79,17.96,-102.2,73.53,1.97
149,Southbridge,90,US,1580003233,100,42.08,-72.03,48.99,9.17
155,Ankang,97,CN,1580003280,69,32.68,109.02,38.8,3.4
158,Portland,90,US,1580003246,81,45.52,-122.68,54.0,6.93
159,Longyearbyen,7,SJ,1580003280,59,78.22,15.64,-0.4,3.36
160,Saskylakh,99,RU,1580003281,93,71.92,114.08,-20.51,16.46
161,Shalinskoye,100,RU,1580003281,85,55.72,93.76,22.98,13.0
162,Pevek,100,RU,1580003281,96,69.7,170.31,-9.44,0.45
165,Toba Tek Singh,0,PK,1580003281,48,30.97,72.48,52.11,5.3
166,Saint Lawrence,20,MT,1580003281,100,36.06,14.2,57.99,6.93
169,Bac Lieu,62,VN,1580003282,58,9.29,105.72,84.02,5.93
170,Allapalli,76,IN,1580003282,60,19.42,80.07,72.16,1.5
171,Concord,75,US,1580002990,82,37.98,-122.03,61.0,9.17
172,Saint George,1,US,1580003176,54,37.1,-113.58,55.4,0.96
173,Novyy Urengoy,81,RU,1580003282,98,66.08,76.63,-6.66,4.81
174,Puerto Escondido,20,MX,1580003282,74,15.85,-97.07,80.6,1.9
175,Klaksvik,100,FO,1580003282,93,62.23,-6.59,44.6,14.99
178,Guerrero Negro,0,MX,1580003283,78,27.98,-114.06,62.11,9.37
181,Ribeira Grande,99,PT,1580003283,74,38.52,-28.7,54.21,5.59
183,Sabang,83,ID,1580003192,68,5.89,95.32,82.35,12.33
185,Kharan,0,PK,1580003284,65,28.58,65.42,54.01,2.1
186,College,1,US,1580003231,74,64.86,-147.8,-9.0,4.59
187,San Cristobal,40,VE,1580003284,74,7.77,-72.22,78.8,2.24
188,Roald,100,NO,1580003284,93,62.58,6.13,46.0,21.92
189,Aswan,0,EG,1580003284,78,24.09,32.91,46.38,10.54
190,Jiwani,91,PK,1580003284,60,25.05,61.74,69.4,8.97
193,Kushiro,20,JP,1580003285,47,42.98,144.37,15.8,4.7
194,Khatanga,22,RU,1580003285,96,71.97,102.5,-23.94,2.64
195,Ko Samui,20,TH,1580003285,74,9.54,99.94,82.4,6.69
196,Atikokan,100,CA,1580003285,97,48.76,-91.62,23.95,2.93
197,Porto-Novo,21,BJ,1580003285,48,6.5,2.6,71.47,4.81
198,Kontagora,0,NG,1580003286,19,10.4,5.47,64.89,7.29
201,Tezu,0,IN,1580003286,41,27.92,96.17,59.7,2.26
203,Zemio,68,CF,1580003286,26,5.03,25.14,64.47,5.7
204,Benemerito de las Americas,0,MX,1580003286,95,16.52,-90.64,68.49,2.66
205,Villa Union,90,MX,1580003286,94,23.2,-106.23,73.0,3.36
206,Waddan,80,LY,1580003287,31,29.16,16.14,55.09,3.76
208,Lisala,1,CD,1580003287,39,2.15,21.52,66.04,0.92
209,Nizwa,71,OM,1580003287,84,22.93,57.53,58.89,9.44
210,Vestmanna,100,FO,1580003287,93,62.16,-7.17,44.6,14.99
211,Inirida,63,CO,1580003287,87,3.87,-67.92,77.36,2.37
212,Celestun,0,MX,1580003287,79,20.87,-90.4,73.42,21.14
214,Nemuro,20,JP,1580003287,48,43.32,145.57,17.6,6.93
215,Lata,20,PT,1580003288,93,40.16,-8.33,50.0,3.36
216,Agadez,33,NE,1580003288,16,19.75,10.25,57.02,4.76
217,Smestad,75,NO,1580003288,93,59.93,10.67,43.0,8.05
218,Visnes,100,NO,1580003288,100,59.36,5.22,44.01,12.75
220,Atar,100,MR,1580003288,24,20.52,-13.05,70.45,9.01
221,Spring Hill,1,US,1580003169,71,28.48,-82.53,57.0,7.54
222,Mbandaka,90,CD,1580003288,34,0.05,18.26,67.51,2.3
224,Aykhal,100,RU,1580003289,74,66.0,111.5,-27.4,6.71
226,Tiznit,32,MA,1580003289,91,29.58,-9.5,46.69,4.07
228,Ilulissat,92,GL,1580003289,42,69.22,-51.1,8.6,11.41
229,Siauliai,0,LT,1580003289,93,55.93,23.32,33.8,8.05
230,Nome,1,US,1580003289,69,64.5,-165.41,-13.0,3.36
231,Lompoc,75,US,1580003090,93,34.64,-120.46,62.01,8.05
232,George Town,20,MY,1580003023,78,5.41,100.34,80.6,3.36
234,Khor,95,RU,1580003290,87,47.89,134.95,0.55,13.89
235,Damphu,0,BT,1580003290,43,27.07,90.11,51.04,1.05
236,Anadyr,90,RU,1580003193,78,64.75,177.48,15.8,13.42
237,Teya,60,RU,1580003291,86,60.38,92.63,9.73,9.82
238,Kedrovyy,40,RU,1580003291,68,56.17,91.82,24.8,8.95
239,Lao Cai,28,VN,1580003291,63,22.48,103.95,58.86,1.66
240,Katsuura,75,JP,1580003291,86,35.13,140.3,41.0,5.82
241,Butka,55,RU,1580003291,95,56.72,63.79,4.12,9.73
242,Brae,100,GB,1580003044,87,60.4,-1.35,46.4,17.22
245,Mobaye,81,CF,1580003292,30,4.32,21.18,61.79,3.49
246,Port Hardy,90,CA,1580003135,81,50.7,-127.42,46.4,20.8
247,Dengzhou,100,CN,1580003292,58,37.81,120.75,37.15,14.76
248,Ransang,4,PH,1580003292,76,8.96,117.58,81.61,5.08
249,Kolaras,0,IN,1580003292,38,25.23,77.6,59.04,2.21
250,Vengerovo,100,RU,1580003292,92,55.68,76.75,5.97,14.52
251,Muisne,100,EC,1580003293,88,0.6,-80.03,77.32,7.78
252,Oussouye,50,SN,1580003293,50,12.48,-16.55,70.66,7.05
255,Ziro,0,IN,1580003293,48,27.63,93.83,52.14,1.79
256,Betare Oya,99,CM,1580003293,22,5.6,14.08,58.95,5.12
257,Liverpool,90,GB,1580003140,93,53.41,-2.98,46.0,5.82
258,Galle,96,LK,1580003058,82,6.04,80.22,77.94,6.64
260,Vila,75,PT,1580003294,100,42.03,-8.16,50.0,4.7
261,The Valley,75,AI,1580003186,78,18.22,-63.06,79.0,1.12
262,Vung Tau,61,VN,1580003294,63,10.35,107.08,82.96,7.34
264,Kapitanivka,98,UA,1580003294,90,48.92,31.72,30.2,7.45
265,Koshurnikovo,100,RU,1580003294,96,54.17,93.3,23.94,0.45
266,Leningradskiy,98,RU,1580003294,96,69.38,178.42,-12.55,4.12
267,Chu,100,KZ,1580003194,96,43.6,73.76,21.63,5.28
268,Sovetskiy,91,RU,1580003295,98,61.36,63.58,-5.19,3.44
270,'Ahuimanu,75,US,1580003256,74,21.44,-157.84,82.4,10.29
271,Fortuna,90,US,1580003295,87,40.6,-124.16,59.0,11.41
272,Sitka,90,US,1580003056,81,57.05,-135.33,44.6,23.04
273,Malibu,1,US,1580003295,72,34.01,-118.81,64.4,5.39
274,Hasaki,75,JP,1580003295,93,35.73,140.83,41.0,3.36
275,Norman Wells,20,CA,1580003296,63,65.28,-126.83,-11.2,13.87
276,Adrar,100,MR,1580003296,23,20.5,-10.07,73.99,10.58
277,Arecibo,90,PR,1580003296,85,18.47,-66.72,77.0,3.36
278,Muros,75,ES,1580003296,100,42.78,-9.06,50.0,2.24
279,Zima,67,RU,1580003296,85,53.92,102.04,14.0,7.31
281,San Bartolome de Tirajana,20,ES,1580003296,55,27.92,-15.57,60.8,9.17
283,Vigrestad,90,NO,1580003296,100,58.57,5.7,43.0,12.75
284,Kulynychi,75,UA,1580003297,91,49.98,36.38,35.6,11.18
285,Saint-Augustin,40,CA,1580003297,79,51.23,-58.65,14.79,10.8
287,Qaqortoq,89,GL,1580003048,66,60.72,-46.03,14.0,3.36
288,Korla,0,CN,1580003297,46,41.76,86.15,15.31,1.63
289,Wahiawa,75,US,1580003297,74,21.5,-158.02,82.4,10.29
290,Kresttsy,75,RU,1580003297,87,58.25,32.52,28.69,6.2
293,Georgiyevka,90,KZ,1580003298,92,43.04,74.71,26.6,4.47
294,Bereznik,33,RU,1580003298,98,62.86,42.71,-6.32,5.17
296,Casper,1,US,1580003019,59,42.87,-106.31,36.0,18.34
297,Gigmoto,90,PH,1580003298,81,13.78,124.39,81.14,12.53
298,Hrinova,90,SK,1580003298,85,48.58,19.53,24.8,2.24
299,Darab,27,IR,1580003299,54,28.75,54.54,43.59,1.72
300,Verkhnevilyuysk,98,RU,1580003299,96,63.45,120.32,-18.2,7.9
301,Carroll,1,US,1580003299,81,39.55,-77.02,45.0,4.7
303,Marrakesh,0,MA,1580003197,93,31.63,-8.01,46.4,1.12
304,Praia da Vitoria,40,PT,1580003299,87,38.73,-27.07,55.4,3.94
305,Polson,90,US,1580003299,93,47.69,-114.16,37.0,5.82
306,Camp Verde,1,US,1580003299,32,34.56,-111.85,55.4,3.31
307,Veraval,0,IN,1580003300,30,20.9,70.37,68.07,7.45
308,Severomuysk,81,RU,1580003300,82,56.15,113.43,8.02,4.56
309,Ardesen,0,TR,1580003300,64,41.19,40.99,39.2,20.8
310,Dinanagar,0,IN,1580003300,81,32.15,75.47,50.88,1.83
311,Kangaatsiaq,100,GL,1580003300,92,68.31,-53.46,13.21,10.6
313,Dingle,31,PH,1580003300,73,11.0,122.67,84.15,5.21
316,Yangi Marg`ilon,90,UZ,1580003301,86,40.43,71.72,37.4,2.24
317,Ratnapura,100,LK,1580003301,87,6.68,80.4,74.59,1.97
318,Sioux Lookout,90,CA,1580003113,85,50.1,-91.92,24.8,4.7
319,Khash,0,IR,1580003173,77,28.22,61.22,42.93,5.06
320,Gusev,100,RU,1580003301,87,54.59,22.2,37.9,11.03
321,Podosinovets,99,RU,1580003302,94,60.28,47.07,10.94,8.7
323,Lumsden,90,CA,1580003302,100,50.65,-104.87,28.0,9.17
324,Camacha,20,PT,1580003302,77,33.08,-16.33,60.8,9.17
325,Vega de Alatorre,33,MX,1580003302,85,20.03,-96.63,73.27,17.9
326,Elko,75,US,1580003258,86,41.0,-115.5,44.6,2.71
327,Irawan,75,PH,1580003302,70,9.8,118.69,84.2,6.93
328,Hay River,90,CA,1580003121,92,60.82,-115.8,12.2,3.36
330,Waldoboro,90,US,1580003303,93,44.1,-69.38,39.0,17.22
332,Marawi,0,PH,1580003303,81,8.0,124.29,82.0,5.01
333,Maniitsoq,100,GL,1580003303,85,65.42,-52.9,13.89,13.18
335,Meulaboh,100,ID,1580003303,79,4.14,96.13,81.23,3.94
336,Polovinnoye,100,RU,1580003304,92,54.79,65.99,16.57,14.99
337,Mattru,28,SL,1580003304,98,7.62,-11.83,72.95,3.96
338,Khandyga,0,RU,1580003304,92,62.67,135.6,-40.04,0.67
339,Ubari,49,LY,1580003304,20,26.59,12.78,55.18,9.15
340,Pedasi,22,PA,1580003304,75,7.53,-80.03,78.66,20.13
341,Nadaun,0,IN,1580003304,59,31.78,76.35,50.49,2.26
342,Narsaq,96,GL,1580003304,66,60.92,-46.05,14.0,3.36
343,Lavrentiya,0,RU,1580003104,77,65.58,-171.0,-13.47,3.15
344,Matay,0,EG,1580003305,73,28.42,30.78,41.23,5.91
348,Jumla,80,NP,1580003305,47,29.27,82.18,30.34,3.09
349,Kamen'-na-Obi,93,RU,1580003305,94,53.79,81.34,3.22,9.17
352,Magaria,0,NE,1580003306,16,13.0,8.91,58.5,12.71
353,Shanhecun,0,CN,1580003306,87,44.7,127.2,10.69,7.74
354,Guhagar,100,IN,1580003306,54,17.48,73.19,78.51,3.67
355,Concepcion del Oro,100,MX,1580003306,80,24.63,-101.42,49.64,1.43
356,Pandan,35,PH,1580003306,77,14.05,124.17,80.85,4.61
357,Patharia,0,IN,1580003306,41,23.9,79.2,58.32,2.08
358,Peace River,40,CA,1580003121,92,56.25,-117.29,19.4,6.93
361,La Ronge,90,CA,1580003251,92,55.1,-105.28,23.0,5.82
362,Lulea,100,SE,1580003307,85,65.58,22.15,10.4,8.05
363,Half Moon Bay,75,US,1580003307,82,37.46,-122.43,62.01,9.17
364,Sajanan,20,TN,1580003307,81,37.06,9.24,46.4,4.7
365,Sainte-Rose,75,GP,1580003308,83,16.33,-61.7,77.0,4.7
366,Tibu,1,CO,1580003308,93,8.64,-72.74,74.53,1.81
367,Tyshkivka,94,UA,1580003308,90,48.5,30.94,30.13,6.13
368,Stokmarknes,68,NO,1580003170,75,68.56,14.91,28.0,11.01
369,Paka,20,MY,1580003308,94,4.64,103.44,77.0,2.24
370,Makakilo City,40,US,1580003224,51,21.35,-158.09,82.4,9.17
372,Okha,0,RU,1580003229,85,53.57,142.95,-9.99,19.69
373,Ponta Delgada,40,PT,1580003309,93,37.73,-25.67,55.4,4.7
375,Warwick,90,US,1580003242,100,41.7,-71.42,51.01,10.29
376,Les Cayes,0,HT,1580003309,70,18.2,-73.75,77.83,10.0
377,Griffith,90,US,1580003309,95,41.53,-87.42,34.0,9.17
378,Laguna,1,US,1580003309,86,38.42,-121.42,57.99,4.7
379,Honningsvag,100,NO,1580003309,70,70.98,25.97,22.96,23.31
380,Srednekolymsk,100,RU,1580003048,92,67.45,153.68,-23.49,2.33
381,Goderich,100,CA,1580003310,91,43.75,-81.72,36.0,3.0
382,Vestmannaeyjar,100,IS,1580003310,96,63.44,-20.27,33.46,15.32
383,Jizan,40,SA,1580003310,68,17.33,42.67,71.6,2.04
384,Krasne,100,UA,1580003310,92,49.91,24.61,23.0,4.88
385,Port Hueneme,1,US,1580003310,72,34.15,-119.2,62.01,5.39
386,Phan Thiet,67,VN,1580003310,53,10.93,108.1,84.27,6.17
387,Houston,90,US,1580003139,72,29.76,-95.36,63.0,8.05
388,Naze,75,JP,1580003310,88,28.37,129.48,71.6,12.75
389,OEstersund,100,SE,1580003311,74,63.18,14.64,39.99,10.29
391,Tehachapi,1,US,1580003168,29,35.13,-118.45,62.6,3.36
393,Nefteyugansk,97,RU,1580003311,91,61.1,72.6,-0.4,6.71
396,Aklavik,90,CA,1580003312,69,68.22,-135.01,-13.0,19.46
397,Sur,7,OM,1580003312,83,22.57,59.53,67.05,5.73
399,Rock Springs,1,US,1580003312,88,41.59,-109.2,32.0,17.22
401,Machico,40,PT,1580003312,67,32.7,-16.77,60.8,5.82
402,Aktobe,90,KZ,1580003312,92,50.28,57.21,28.4,24.61
405,Nanortalik,100,GL,1580003313,75,60.14,-45.24,23.34,16.98
406,Kodinsk,64,RU,1580003313,86,58.69,99.18,17.6,10.2
407,Dakar,97,SN,1580003313,64,14.69,-17.44,73.4,19.46
408,Williams Lake,40,CA,1580003313,74,52.14,-122.14,33.8,13.87
409,Seoni Malwa,0,IN,1580003313,42,22.45,77.47,62.26,6.4
411,Kosonsoy,90,UZ,1580003314,94,41.26,71.55,35.6,4.7
415,Ostrovnoy,100,RU,1580003314,98,68.05,39.51,1.87,10.38
416,Ulaanbaatar,0,MN,1580003041,75,47.91,106.88,-14.8,4.36
419,Hit,0,IQ,1580003315,67,33.64,42.83,44.6,10.63
420,Kota Bharu,40,MY,1580003315,88,6.13,102.24,78.8,2.44
421,Wenling,100,CN,1580003315,97,28.37,121.36,50.0,3.0
422,Santa Catarina Ixtahuacan,46,GT,1580003315,93,14.8,-91.37,52.0,1.14
424,Dalian,100,CN,1580003315,46,38.91,121.6,30.2,6.71
425,Hofn,82,IS,1580003316,86,64.25,-15.21,38.97,16.04
426,Boa Vista,95,BR,1580003261,62,2.82,-60.67,84.2,8.05
427,Moratuwa,20,LK,1580003316,88,6.77,79.88,75.2,10.29
428,Coahuayana Viejo,40,MX,1580003316,83,18.73,-103.68,69.8,9.17
429,Jacqueville,20,CI,1580003316,83,5.21,-4.41,84.2,8.05
430,Raymond,90,US,1580003316,93,43.9,-70.47,39.99,6.93
431,Itoman,75,JP,1580003316,83,26.12,127.67,75.2,10.29
432,Kerrville,90,US,1580003168,93,30.05,-99.14,59.0,4.7
433,Pacific Grove,75,US,1580003288,87,36.62,-121.92,61.0,1.52
434,Lebanon,90,US,1580003317,83,36.21,-86.29,39.99,4.7
435,Margate,90,GB,1580003210,100,51.38,1.39,46.4,10.29
436,Tambura,100,SS,1580003317,25,5.6,27.47,66.31,6.44
438,Lalibela,9,ET,1580003317,47,12.03,39.03,50.05,1.16
440,Dyer,1,US,1580003318,86,36.05,-89.4,39.2,4.7
441,Kandalaksha,67,RU,1580003318,91,67.16,32.41,1.92,4.47
442,Sorland,100,NO,1580003066,74,67.67,12.69,35.04,29.84
443,Assiut,0,EG,1580003318,87,27.18,31.18,42.8,9.17
444,Keokuk,100,US,1580003070,80,40.4,-91.38,33.8,6.93
445,Sistranda,75,NO,1580003318,87,63.73,8.83,46.4,31.09
446,Wanning,100,CN,1580003318,86,18.8,110.4,62.89,11.99
448,Cayenne,75,GF,1580003116,94,4.93,-52.33,75.2,2.24
449,Sal Rei,90,CV,1580003319,83,16.18,-22.92,69.8,16.11
450,Kenora,90,CA,1580003106,92,49.82,-94.43,21.2,4.7
452,Anloga,21,GH,1580003319,73,5.79,0.9,71.6,2.24
454,Promyshlennaya,40,RU,1580003320,78,54.92,85.64,17.6,17.9
455,Palmer,90,US,1580003225,100,42.16,-72.33,46.99,5.82
456,Rauma,90,FI,1580003320,91,61.13,21.5,37.4,10.29
458,San Francisco,90,US,1580003032,93,37.77,-122.42,62.01,3.36
460,Veracruz,5,MX,1580003320,83,19.33,-96.67,75.2,2.24
461,Ahmadpur East,0,PK,1580003320,52,29.14,71.26,60.37,8.7
462,Nichinan,75,JP,1580003321,93,31.6,131.37,51.8,11.41
463,Ishikari,75,JP,1580003321,73,43.24,141.35,25.0,3.36
464,Challans,100,FR,1580003107,100,46.84,-1.87,48.2,5.82
465,Garoowe,36,SO,1580003321,79,8.41,48.48,72.57,6.62
466,Acapulco de Juarez,20,MX,1580003321,74,16.86,-99.89,80.6,5.82
470,Bud,90,US,1580003322,91,39.45,-86.18,33.01,12.75
471,Udachny,100,RU,1580003322,74,66.42,112.4,-27.4,6.71
472,Cedar City,1,US,1580003133,52,37.68,-113.06,42.8,3.49
475,Zeya,18,RU,1580003322,89,53.75,127.27,-16.19,3.58
477,Gutierrez Zamora,90,MX,1580003322,88,20.45,-97.08,71.6,5.82
480,Bosilegrad,53,RS,1580003323,85,42.5,22.47,33.8,2.68
481,Gornopravdinsk,97,RU,1580003323,98,60.05,69.9,-7.06,5.61
482,Vanavara,62,RU,1580003323,80,60.34,102.28,18.86,14.85
483,Taraza,85,CO,1580003323,98,7.58,-75.4,68.14,1.34
486,Arrondissement de Lannion,97,FR,1580003324,93,48.75,-3.42,46.0,4.7
487,Saint Anthony,90,US,1580003324,80,45.02,-93.22,30.2,3.36
488,Hachinohe,75,JP,1580003324,50,40.5,141.5,33.8,10.29
489,Kedgwick,100,CA,1580003324,96,47.64,-67.34,23.54,3.58
490,Lakefield,90,US,1580003324,85,43.68,-95.17,26.6,4.7
491,Ajdabiya,51,LY,1580003324,56,30.76,20.23,58.53,18.23
492,Bongandanga,26,CD,1580003324,37,1.5,21.05,66.72,1.36
494,Oistins,75,BB,1580003318,83,13.07,-59.53,77.0,6.93
495,Kahului,1,US,1580003325,51,20.89,-156.47,84.2,20.8
496,Langsa,100,ID,1580003325,60,4.47,97.97,84.34,4.65
498,Casa Grande,90,US,1580003197,59,32.88,-111.76,68.0,3.36
500,Morant Bay,75,JM,1580003325,78,17.88,-76.41,77.0,8.05
501,Kamalia,0,PK,1580003325,52,30.73,72.65,53.56,6.29
502,Ulaangom,100,MN,1580003325,91,49.98,92.07,-4.72,3.22
503,Matamoros,75,MX,1580003326,52,25.53,-103.25,64.4,2.24
505,Fort Dodge,40,US,1580003326,79,42.5,-94.17,26.6,3.36
507,Sheridan,1,US,1580003207,55,44.83,-106.92,35.6,6.93
508,Ukiah,90,US,1580003326,93,39.15,-123.21,57.99,5.82
509,Kamenka,3,RU,1580003326,85,51.32,42.77,32.0,11.01
510,Waynesboro,1,US,1580003037,64,38.07,-78.89,46.4,4.7
511,Palana,100,RU,1580003327,75,59.12,159.97,31.35,31.36
512,Grindavik,90,IS,1580003327,72,63.84,-22.43,35.6,11.41
513,Thaton,91,MM,1580003327,33,16.92,97.37,74.48,3.6
514,Carrollton,90,US,1580003327,62,32.95,-96.89,62.6,8.05
515,Paris,62,FR,1580003327,100,48.85,2.35,39.99,3.36
516,Berdigestyakh,33,RU,1580003327,96,62.1,126.7,-26.68,5.86
518,Berlevag,100,NO,1580003327,69,70.86,29.09,23.07,27.11
519,Hambantota,40,LK,1580003157,100,6.12,81.12,75.2,12.75
520,Buckeye,1,US,1580003139,59,33.37,-112.58,68.0,3.56
521,Plouzane,90,FR,1580003328,93,48.38,-4.62,46.4,6.93
522,Tyup,100,KG,1580003328,53,42.73,78.36,19.08,3.49
523,Bilma,58,NE,1580003328,17,18.69,12.92,59.02,11.01
525,Husavik,90,IS,1580003328,100,66.04,-17.34,28.4,10.29
526,Clearlake,90,US,1580003328,93,38.96,-122.63,60.01,5.82
527,Bara,0,NG,1580003128,25,10.37,10.73,55.71,7.67
529,Lapeer,90,US,1580003329,97,43.05,-83.32,34.0,4.7
530,Toora-Khem,100,RU,1580003329,91,52.47,96.11,6.78,3.15
